col0|col1|col2|col3
brünig pass|1008|516|t394928837
tenderfoot pass|10200|516|t394928837
metro man|2010-10-01|516|t394928837
belly juju|2004-01-01|516|t394928837
boykins|1.798362|516|t394928837
clifton forge|7.974832|3555|t394928837
ogle blg-ell-9725|19.71|3555|t394928837
2mass j06391072+0810531|16.066|3555|t394928837
1958 eurpean athletics championships|630.1349999999999|3555|t394928837
1986 eropean athletics championships|877.36|3555|t394928837
sdss j103058.98+352009.8|35.3360901472229|3555|t394928837
sdss j161122.67+210518.0|21.0883395878568|3555|t394928837
tsakistra reservoir|100000|0.015|t394928837
guri reservoir|138000|4250.0|170
great pyramid of giza|53061.12|4250.0|170
kv3|193.36|53.47|170
president of tamkang university|academic affairs meeting of tamkang university|53.47|170
consort of pahang|queen consort of pahang|53.47|170
relief krankenbesuch by carl kundmann|queen consort of pahang|53.47|170
ancien hôpital saint-jean de montignac|queen consort of pahang|53.47|170
elizabeth bard memorial hospital|queen consort of pahang|53.47|170
long beach medical center|queen consort of pahang|53.47|170
drumcondra hospital|queen consort of pahang|53.47|170
seattle general hospital|queen consort of pahang|53.47|170
brown general hospital|queen consort of pahang|53.47|170
legacy holladay park medical center|queen consort of pahang|53.47|170
ulricehamns sanatorium|queen consort of pahang|53.47|170
hong kong central hospital|queen consort of pahang|53.47|170
general hospital|queen consort of pahang|53.47|170
rosewood center|queen consort of pahang|53.47|170
eugeniahemmet|queen consort of pahang|53.47|170
nagasaki prefecture nakatsushima hospital|queen consort of pahang|53.47|170
museum of navarre|queen consort of pahang|53.47|170
westland hospital|queen consort of pahang|53.47|170
bürgerspital helfenberg|queen consort of pahang|53.47|170
ely hospital|queen consort of pahang|53.47|170
alma house|queen consort of pahang|53.47|170
farsund hospital|queen consort of pahang|53.47|170
55 żytnia street in włocławek|queen consort of pahang|53.47|170
pine bluff state hospital|queen consort of pahang|53.47|170
united states army 191st general hospital|queen consort of pahang|53.47|170
slotervaartziekenhuis|queen consort of pahang|53.47|170
pépinière|queen consort of pahang|53.47|170
saint john's hospital|queen consort of pahang|53.47|170
st augustine's hospital, chartham|queen consort of pahang|53.47|170
mary immaculate hospital|queen consort of pahang|53.47|170
roberts chapel united methodist church|queen consort of pahang|53.47|170
david lewis northern hospital|queen consort of pahang|53.47|170
bundes-oberstufenrealgymnasium lienz|queen consort of pahang|53.47|170
merav hospital|queen consort of pahang|53.47|170
universitetssjukhuset mas|queen consort of pahang|53.47|170
heilgeisthospital|queen consort of pahang|53.47|170
university tuberculosis hospital|queen consort of pahang|53.47|170
canadian red cross memorial hospital|queen consort of pahang|53.47|170
aubrey house|queen consort of pahang|53.47|170
portland, maine marine hospital|queen consort of pahang|53.47|170
daughters of charity monastery in białystok|queen consort of pahang|53.47|170
central city hall, budapest|queen consort of pahang|53.47|170
manchester babies hospital|queen consort of pahang|53.47|170
augsburger straße 4|queen consort of pahang|53.47|170
antigo lazareto|fundação de amparo à pesquisa do estado da bahia|53.47|170
adelaide hospital|fundação de amparo à pesquisa do estado da bahia|53.47|170
biltmore hospital|fundação de amparo à pesquisa do estado da bahia|53.47|170
pflegeheim stockerau|fundação de amparo à pesquisa do estado da bahia|53.47|170
st clara hospital|fundação de amparo à pesquisa do estado da bahia|53.47|170
sundsvalls kommunhus|fundação de amparo à pesquisa do estado da bahia|53.47|170
maida vale hospital for nervous diseases|fundação de amparo à pesquisa do estado da bahia|53.47|170
terndrup sygehus|fundação de amparo à pesquisa do estado da bahia|53.47|170
ancien hôpital de la roche-sur-yon|fundação de amparo à pesquisa do estado da bahia|53.47|170
convent complex of saint francis|fundação de amparo à pesquisa do estado da bahia|53.47|170
palazzo nasciaro|fundação de amparo à pesquisa do estado da bahia|53.47|170
hot lake hotel|fundação de amparo à pesquisa do estado da bahia|53.47|170
hospital of la piedad, benavente|fundação de amparo à pesquisa do estado da bahia|53.47|170
prince of wales orthopaedic hospital, rhydlafar|fundação de amparo à pesquisa do estado da bahia|53.47|170
lima tuberculosis hospital|fundação de amparo à pesquisa do estado da bahia|53.47|170
institute of the pennsylvania hospital|fundação de amparo à pesquisa do estado da bahia|53.47|170
preston royal infirmary|fundação de amparo à pesquisa do estado da bahia|53.47|170
christuskirche (goslar)|fundação de amparo à pesquisa do estado da bahia|53.47|170
hôtel-dieu à rouen|prefecture of seine-maritime|53.47|170
hospital san vicente de paul, santiago de chile|prefecture of seine-maritime|53.47|170
yarra bend asylum|prefecture of seine-maritime|53.47|170
st. elizabeths hospital|prefecture of seine-maritime|53.47|170
former surgical institute of doctor depage and former national institute of blood|prefecture of seine-maritime|53.47|170
st crispin's hospital|prefecture of seine-maritime|53.47|170
good samaritan-waverly hospital|prefecture of seine-maritime|53.47|170
fort ord station veterinary hospital|prefecture of seine-maritime|53.47|170
hospice debrousse|prefecture of seine-maritime|53.47|170
fort howard hospital|prefecture of seine-maritime|53.47|170
sea view hospital|prefecture of seine-maritime|53.47|170
sunnyside royal hospital|prefecture of seine-maritime|53.47|170
boston psychopathic hospital|prefecture of seine-maritime|53.47|170
paddington general hospital|prefecture of seine-maritime|53.47|170
german lazaret|prefecture of seine-maritime|53.47|170
igreja e hospital da santa casa da misericórdia de galveias|prefecture of seine-maritime|53.47|170
aichi cardiovascular and respiratory center|prefecture of seine-maritime|53.47|170
hôpital rural saint-louis|prefecture of seine-maritime|53.47|170
gemeenteziekenhuis|prefecture of seine-maritime|53.47|170
gemeenteziekenhuis|prefecture of seine-maritime|53.47|170
barnett hospital and nursing school|prefecture of seine-maritime|53.47|170
kreispflegeheim lößnitzhöhe|prefecture of seine-maritime|53.47|170
ancien hôpital des bourgeois,|prefecture of seine-maritime|53.47|170
wellesley hospital|prefecture of seine-maritime|53.47|170
hohenhonnef|prefecture of seine-maritime|53.47|170
lungenheilstätte gaisbühel|prefecture of seine-maritime|53.47|170
old psychiatric hospital of st. agatha|prefecture of seine-maritime|53.47|170
bellwood general hospital|prefecture of seine-maritime|53.47|170
neponsit beach hospital|prefecture of seine-maritime|53.47|170
bushwick hospital|prefecture of seine-maritime|53.47|170
medfield state hospital|prefecture of seine-maritime|53.47|170
skagen bunker museum|prefecture of seine-maritime|53.47|170
palazzo vilhena|prefecture of seine-maritime|53.47|170
former hospital (building 5) higher barracks|prefecture of seine-maritime|53.47|170
anna state hospital|prefecture of seine-maritime|53.47|170
old health department building in łódź|prefecture of seine-maritime|53.47|170
gamla länslasarettet, falköping|prefecture of seine-maritime|53.47|170
st philip's hospital|prefecture of seine-maritime|53.47|170
st martin's house|prefecture of seine-maritime|53.47|170
western infirmary|prefecture of seine-maritime|53.47|170
hospital of baranya county|prefecture of seine-maritime|53.47|170
metropolitan hospital central division|prefecture of seine-maritime|53.47|170
benjamin stickney cable memorial hospital|prefecture of seine-maritime|53.47|170
priory and hospital of st. john the baptist, nenagh|prefecture of seine-maritime|53.47|170
archaeological museum of alicante|prefecture of seine-maritime|53.47|170
papengracht 13, leiden|prefecture of seine-maritime|53.47|170
tairoin hospital|prefecture of seine-maritime|53.47|170
prince edward island hospital|prefecture of seine-maritime|53.47|170
dunston hill hospital|prefecture of seine-maritime|53.47|170
1a drumoyne drive, elder cottage hospital|prefecture of seine-maritime|53.47|170
levering mission|prefecture of seine-maritime|53.47|170
dixmont state hospital|prefecture of seine-maritime|53.47|170
cork north infirmary|prefecture of seine-maritime|53.47|170
cleveland state hospital|prefecture of seine-maritime|53.47|170
remains of llawhaden hospital|prefecture of seine-maritime|53.47|170
lazzaretto|prefecture of seine-maritime|53.47|170
lazzaretto|prefecture of seine-maritime|53.47|170
lazzaretto|prefecture of seine-maritime|53.47|170
york county hospital|prefecture of seine-maritime|53.47|170
auburn university chapel|prefecture of seine-maritime|53.47|170
geriatriezentrum lainz|prefecture of seine-maritime|53.47|170
pine ridge hospital|prefecture of seine-maritime|53.47|170
st giles' hospital|prefecture of seine-maritime|53.47|170
district of columbia general hospital|prefecture of seine-maritime|53.47|170
hillside sanitarium|prefecture of seine-maritime|53.47|170
brooklyn eye and ear hospital|prefecture of seine-maritime|53.47|170
northfield hospital|prefecture of seine-maritime|53.47|170
brewster hospital|prefecture of seine-maritime|53.47|170
norton memorial infirmary|prefecture of seine-maritime|53.47|170
oude rkz|prefecture of seine-maritime|53.47|170
catharina gasthuis|prefecture of seine-maritime|53.47|170
old manor hospital, salisbury|prefecture of seine-maritime|53.47|170
national temperance hospital|prefecture of seine-maritime|53.47|170
former hospital, marabout barracks|prefecture of seine-maritime|53.47|170
old hospital|prefecture of seine-maritime|53.47|170
old hospital|prefecture of seine-maritime|53.47|170
pine camp tuberculosis hospital|prefecture of seine-maritime|53.47|170
new mexico school for the deaf hospital|prefecture of seine-maritime|53.47|170
hospital de san juan de jerusalén|prefecture of seine-maritime|53.47|170
maison-blanche|prefecture of seine-maritime|53.47|170
landesfrauenklinik stettin|prefecture of seine-maritime|53.47|170
oakwood hospital|prefecture of seine-maritime|53.47|170
saigon adventist hospital|prefecture of seine-maritime|53.47|170
edifici xifré|prefecture of seine-maritime|53.47|170
russian hospital jerusalem|prefecture of seine-maritime|53.47|170
children's country home|prefecture of seine-maritime|53.47|170
cityplex towers|prefecture of seine-maritime|53.47|170
jutfaseweg 7, utrecht|prefecture of seine-maritime|53.47|170
birkenhead general hospital|prefecture of seine-maritime|53.47|170
jefferson davis hospital|prefecture of seine-maritime|53.47|170
mariestads gamla lasarett|prefecture of seine-maritime|53.47|170
marjatta hospital|prefecture of seine-maritime|53.47|170
kaiserin-augusta-hospital|prefecture of seine-maritime|53.47|170
trans-allegheny lunatic asylum|prefecture of seine-maritime|53.47|170
hospital sueco-noruego|prefecture of seine-maritime|53.47|170
hagaziekenhuis, locatie sportlaan|prefecture of seine-maritime|53.47|170
hospitaal van bavière|prefecture of seine-maritime|53.47|170
heilanstalten berlin buch|prefecture of seine-maritime|53.47|170
clement atkinson memorial hospital|prefecture of seine-maritime|53.47|170
mendip hospital|prefecture of seine-maritime|53.47|170
museum of santa cruz|prefecture of seine-maritime|53.47|170
coqualeetza indian hospital|prefecture of seine-maritime|53.47|170
walter p carter center|prefecture of seine-maritime|53.47|170
foundling hospital, cork|prefecture of seine-maritime|53.47|170
bristol general hospital|prefecture of seine-maritime|53.47|170
vertrouw op god|prefecture of seine-maritime|53.47|170
st. john's guild seaside hospital|prefecture of seine-maritime|53.47|170
sanatorium schorlemmer|prefecture of seine-maritime|53.47|170
grove place house northcliffe school|prefecture of seine-maritime|53.47|170
gotham hospital|prefecture of seine-maritime|53.47|170
oregon hospital for the insane|prefecture of seine-maritime|53.47|170
cheyenne veterans administration hospital|prefecture of seine-maritime|53.47|170
arcispedale di san giacomo degli incurabili (rome)|prefecture of seine-maritime|53.47|170
bürgerspital basel|prefecture of seine-maritime|53.47|170
st mary's hospital, stannington|prefecture of seine-maritime|53.47|170
southport promenade hospital|prefecture of seine-maritime|53.47|170
rnh mtarfa|prefecture of seine-maritime|53.47|170
pureair sanatorium|prefecture of seine-maritime|53.47|170
st. catherine's old church, żejtun|prefecture of seine-maritime|53.47|170
hôpital laennec de paris|kering|53.47|170
ex ospedale maggiore sant'andrea|kering|53.47|170
margaret sanger clinic|kering|53.47|170
lapinlahti hospital|kering|53.47|170
château de pélican|kering|53.47|170
princess margaret rose orthopaedic hospital|kering|53.47|170
bürgerspital und barbarakapelle poysdorf|kering|53.47|170
paul a. dever state school|kering|53.47|170
selimiye barracks|first army|53.47|170
provident hospital|first army|53.47|170
provident hospital|first army|53.47|170
provident hospital|first army|53.47|170
kliniken landkreis biberach|first army|53.47|170
neasden hospital|first army|53.47|170
hôpital civil|first army|53.47|170
san giovanni di dio|first army|53.47|170
walther memorial hospital|first army|53.47|170
belchertown state school|first army|53.47|170
františkánský klášter|first army|53.47|170
allmänna bb|first army|53.47|170
muirdale tuberculosis sanatorium|first army|53.47|170
st. vincent seton specialty hospital lafayette|first army|53.47|170
st. brendan's hospital|first army|53.47|170
government house|first army|53.47|170
government house|first army|53.47|170
memorial hospital|first army|53.47|170
bundeswehrkrankenhaus detmold|first army|53.47|170
antigo albergue e hospital da misericórdia de buarcos|first army|53.47|170
kew cottages|first army|53.47|170
ehemaliges park-krankenhaus leipzig-dösen|first army|53.47|170
london smallpox hospital|first army|53.47|170
ospedale degli incurabili|first army|53.47|170
berlin house|first army|53.47|170
huronia regional centre|first army|53.47|170
spanish military hospital of vienna|first army|53.47|170
convento das capuchas|first army|53.47|170
metropolitan hospital training school for nurses|first army|53.47|170
hayes cottage hospital|first army|53.47|170
dmc surgery hospital|first army|53.47|170
chapelle de l'enfant-jésus d'annonay|first army|53.47|170
dr. fred stone, sr., hospital|first army|53.47|170
leanchoil hospital|first army|53.47|170
